objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,type,format,musicians,link to promo,instruments
sftbh001,20240224_hogbite1.jpg,,Lather,"Joy, Joshua",2024-02-24,"Lather with electronics setup, including conch shell.",ambient noise;electro-acoustic improvisation,"Orbit Room, Bloomington, Indiana",39.16695,-86.53523,Image;StillImage,image/jpeg,Lather,,synthesis; tape; contact microphone percussion
sftbh002,20240224_hogbite2.jpg,,Hogbite 1,"Joy, Joshua",2024-02-24,A closuep of some of Hogbite's instruments.,ambient noise;electro-acoustic improvisation,"Orbit Room, Bloomington, Indiana",39.16695,-86.53523,Image;StillImage,image/jpeg,Hogbite,,synthesis; contact microphone percussion
sftbh003,20240224_hogibte3.jpg,,Hogbite 2,"Joy, Joshua",2024-02-24,Hogbite in performance.,ambient noise;electro-acoustic improvisation,"Orbit Room, Bloomington, Indiana",39.16695,-86.53523,Image;StillImage,image/jpeg,Hogbite,,synthesis; contact microphone percussion
sftbh004,"20240427_quass,bkt.jpg",,Kyle Quass & Brendan Keller-Tuberg,"Joy, Joshua",2024-04-27,Kyle Quass (trumpet) & Brendan Keller-Tuberg (bass) in performance.,free improvisation,"Orbit Room, Bloomington, Indiana",39.16695,-86.53523,Image;StillImage,image/jpeg,"Quass, Kyle; Keller-Tuberg, Brendan",,trumpet; bass
sftbh005,20240928_drekkaduo1.jpg,,Crisping Lover 1,"Joy, Joshua",2024-09-28,"Crisping Lover in performance, featuring Drekka (left).",ambient noise;electro-acoustic improvisation,"Orbit Room, Bloomington, Indiana",39.16695,-86.53523,Image;StillImage,image/jpeg,Crisping Lover; Drekka,,synthesis; tape; contact microphone percussion
sftbh006,20240928_drekkaduo2.jpg,,Crisping Lover 2,"Joy, Joshua",2024-09-28,"Crisping Lover in performance, featuring Drekka (left).",ambient noise;electro-acoustic improvisation,"Orbit Room, Bloomington, Indiana",39.16695,-86.53523,Image;StillImage,image/jpeg,Crisping Lover; Drekka,,synthesis; tape; contact microphone percussion
sftbh007,20240928_trio.jpg,,Direct Mutant Action,"Joy, Joshua",2024-09-28,Direct Mutant Action in performance.,noise rock;free improvisation,"Orbit Room, Bloomington, Indiana",39.16695,-86.53523,Image;StillImage,image/jpeg,Direct Mutant Action,,saxophone; synthesis; drums
sftbh008,20241002_drekka.jpg,,Drekka 1,"Joy, Joshua",2024-10-02,Drekka in solo performance. ,electro-acoustic improvisation,"Sinkhole, Bloomington, Indiana",,,Image;StillImage,image/jpeg,Drekka,,tape; voice
sftbh009,20241002_drekka2.jpg,,Drekka 2,"Joy, Joshua",2024-10-02,Drekka in solo performance. ,electro-acoustic improvisation,"Sinkhole, Bloomington, Indiana",,,Image;StillImage,image/jpeg,Drekka,,tape; voice
sftbh010,,zEoGmimIiXQ,Duo Denum: Al Margolis & Tom Law,"Joy, Joshua",2024-10-16,Al Margolis (violin) & Tom Law (viol) in performance.,free improvisation,"Walkover Sounds & Stones, Bloomington, Indiana",39.16738,-86.53343,Image;StillImage,image/jpeg,,,violin; viol
sftbh011,,ZeEB_f3KdqY,Duo Denum: Al Margolis & Tom Law,"Joy, Joshua",2024-10-16,Al Margolis (violin) & Tom Law (viol) in performance.,free improvisation,"Walkover Sounds & Stones, Bloomington, Indiana",39.16738,-86.53343,Image;MovingImage,video/mp4,,,violin; viol
sftbh012,20250125_giantday.jpg,,Giant Day,"Joy, Joshua",2025-01-25,Giant Day in performance.,psychedelic rock,"Orbit Room, Bloomington, Indiana",39.16695,-86.53523,Image;MovingImage,video/mp4,Giant Day,,guitar; tape; voice
sftbh013,20250312_sftbh322poster.jpg,,"Poster, March 22","Myers, Ben",2025-03-22,,poster,"Orbit Room, Bloomington, Indiana",39.16695,-86.53523,Image;StillImage,image/jpeg,Crawling Giants; Boring Walking Videos; Roland/Brown Duo,,
sftbh014,20250414_sftbh426poster.jpg,,"Poster, April 26","Myers, Ben",2025-04-26,,poster,"Orbit Room, Bloomington, Indiana",39.16695,-86.53523,Image;StillImage,image/jpeg,"Kohl, Lia; Johnson, Whitney; Spaulding, Brandon; Local Hypertext",,
sftbh015,"20250426_lather,xylocept.jpg",,Lather & Xylocept,"Joy, Joshua",2025-04-26,Lather (left) & Xylocept (Right) in performance.,ambient noise;electro-acoustic improvisation,"Orbit Room, Bloomington, Indiana",39.16695,-86.53523,Image;StillImage,image/jpeg,Lather; Xylocept,,sythesis; tape
sftbh016,20250426_stringduo1.jpg,,Lia Kohl & Whitney Johnson 1,"Joy, Joshua",2025-04-26,Lia Kohl (cello) & Whitney Johnson (viola) in performance.,ambient,"Orbit Room, Bloomington, Indiana",39.16695,-86.53523,Image;StillImage,image/jpeg,"Kohl, Lia; Johnson, Whitney",,viola; cello
sftbh017,,mZE0uwhutHg,Lia Kohl & Whitney Johnson 2,"Joy, Joshua",2025-04-26,Lia Kohl (cello) & Whitney Johnson (viola) in performance.,ambient,"Orbit Room, Bloomington, Indiana",39.16695,-86.53523,Image;MovingImage,video/mp4,"Kohl, Lia; Johnson, Whitney",,viola; cello
sftbh018,20250426_stringduo3.jpg,,Lia Kohl & Whitney Johnson 3,"Joy, Joshua",2025-04-26,Lia Kohl (cello) & Whitney Johnson (viola) in performance.,ambient,"Orbit Room, Bloomington, Indiana",39.16695,-86.53523,Image;StillImage,image/jpeg,"Kohl, Lia; Johnson, Whitney",,viola; cello
sftbh019,20250508_completelydead1.jpg,,Completely Dead 1,"Joy, Joshua",2025-05-08,Completely Dead in peformance.,noise rock,"Walkover Sounds & Stones, Bloomington, Indiana",39.16738,-86.53343,Image;StillImage,image/jpeg,Completely Dead,,guitar; drums; voice
sftbh020,,hHIFyRtJPuA,Completely Dead 2,"Joy, Joshua",2025-05-08,Completely Dead in peformance.,noise rock,"Walkover Sounds & Stones, Bloomington, Indiana",39.16738,-86.53343,Image;MovingImage,video/mp4,Completely Dead,,guitar; drums; voice
sftbh021,,OY9sN3aToIc,Joey Molinaro,"Joy, Joshua",2024-06-11,Joey Molinaro in peformance.,free improvisation; noise rock,"Orbit Room, Bloomington, Indiana",39.16695,-86.53523,Image;MovingImage,video/mp4,"Molinaro, Joey",,violin; contact microphone percussion
sftbh022,"20250628_smith,cunningham,bryerton,quass,xylocept.jpg",,"Damon Smith, Alex Cunningham, Jerome Bryerton, Kyle Quass & Xylocept","Joy, Joshua",2025-06-28,"Damon Smith (bass), Alex Cunningham (guitar) & Jerome Bryerton (drums) in performance with Kyle Quass (trumpet) & Xylocept (synthesis).",free improvisation,"Orbit Room, Bloomington, Indiana",39.16695,-86.53523,Image;StillImage,image/jpeg,"Smith, Damon; Cunningham, Alex; Bryerton, Jerome; Quass, Kyle; Xylocept",,bass; guitar; drums; trumpet; synthesis
sftbh023,,KCrAA8YnuG8,"Damon Smith, Alex Cunningham & Jerome Bryerton 1","Joy, Joshua",2025-06-28,"Damon Smith (bass), Alex Cunningham (guitar) & Jerome Bryerton (drums) in performance.",free improvisation,"Orbit Room, Bloomington, Indiana",39.16695,-86.53523,Image;MovingImage,video/mp4,"Smith, Damon; Cunningham, Alex; Bryerton, Jerome",,bass; guitar; drums
sftbh024,,OyL295VLaWg,"Damon Smith, Alex Cunningham & Jerome Bryerton 2","Joy, Joshua",2025-06-28,"Damon Smith (bass), Alex Cunningham (guitar) & Jerome Bryerton (drums) in performance.",free improvisation,"Orbit Room, Bloomington, Indiana",39.16695,-86.53523,Image;MovingImage,video/mp4,"Smith, Damon; Cunningham, Alex; Bryerton, Jerome",,bass; guitar; drums
sftbh025,"20250628_smith,cunningham,bryerton3.jpg",,"Damon Smith, Alex Cunningham & Jerome Bryerton 3","Joy, Joshua",2025-06-28,"Damon Smith (bass), Alex Cunningham (guitar) & Jerome Bryerton (drums) in performance.",free improvisation,"Orbit Room, Bloomington, Indiana",39.16695,-86.53523,Image;StillImage,image/jpeg,"Smith, Damon; Cunningham, Alex; Bryerton, Jerome",,bass; guitar; drums
sftbh026,20250915_sftbh920poster.jpg,,"Poster, September 20","Myers, Ben",2025-09-15,,poster,"Orbit Room, Bloomington, Indiana",39.16695,-86.53523,Image;StillImage,image/jpeg,Illusion of Safety; Scotchamo; Drekka,,
sftbh027,20250915_sftbh930poster.jpg,,"Poster, September 30","Myers, Ben",2025-09-15,,poster,"Walkover Sounds & Stones, Bloomington, Indiana",39.16738,-86.53343,Image;StillImage,image/jpeg,"Xylocept; Lather; Hogbite; Kaiser, Tim",,
sftbh028,sftbh58poster.jpg,,"Poster, May 8 (digital)","Myers, Ben",2025-05-08,,poster,"Walkover Sounds & Stones, Bloomington, Indiana",39.16738,-86.53343,Image;StillImage,image/jpeg,"KBD; Lather; Completely Dead; City Underground, The ",,
sftbh029,sftbh125poster.jpg,,"Poster, January 25 (digital)","Myers, Ben",2025-01-25,,poster,"Orbit Room, Bloomington, Indiana",39.16695,-86.53523,Image;StillImage,image/jpeg,Giant Day; Bronze; Geodize,,
sftbh030,sftbh423poster.jpg,,"Poster, April 23 (digital)","Myers, Ben",2025-04-23,,poster,"Blockhouse, Bloomington, Indiana",,,Image;StillImage,image/jpeg,"Kamins, Danny; Quass, Kyle; Ortet",,
sftbh031,sftbh426poster.jpg,,"Poster, April 26 (digital)","Myers, Ben",2025-04-26,,poster,"Orbit Room, Bloomington, Indiana",39.16695,-86.53523,Image;StillImage,image/jpeg,"Kohl, Lia; Johnson, Whitney; Spaulding, Brandon, Local Hypertext",,
sftbh032,sftbh611poster.jpg,,"Poster, June 11","Myers, Ben",2025-06-11,,poster,"Orbit Room, Bloomington, Indiana",39.16695,-86.53523,Image;StillImage,image/jpeg,"Molinaro, Joey; Lather; Melt-Face; Boring Walking Videos",,
